energy,flux,flux_error_lo,flux_error_hi
40.054415850000005,1.1047569622697664e-12,8.608775478937594e-14,8.608775478937594e-14
41.124467768572025,1.0831268734157143e-12,8.31723091916853e-14,8.31723091916853e-14
42.22310607603878,1.0619202810951189e-12,8.036772831118516e-14,8.036772831118516e-14
43.35109445649433,1.0411288936493085e-12,7.767150395586391e-14,7.767150395586391e-14
44.509216995819,1.0207445817623863e-12,7.508118427052612e-14,7.508118427052612e-14
45.69827872671215,1.0007593752827172e-12,7.25943690299713e-14,7.25943690299713e-14
46.919106188285454,9.811654601066425e-13,7.02087046669714e-14,7.02087046669714e-14
48.172548000605865,9.619551751232096e-13,6.792187903859614e-14,6.792187903859614e-14
49.4594754545872,9.431210092187186e-13,6.573161594307566e-14,6.573161594307566e-14
50.78078311764095,9.2465559833992e-13,6.363566940966415e-14,6.363566940966415e-14
52.13738945550673,9.065517226147127e-13,6.163181779583266e-14,6.163181779583266e-14
53.53023747069509,8.88802303529212e-13,5.97178577394253e-14,5.97178577394253e-14
54.96029535798627,8.714004011600927e-13,5.789159802788453e-14,5.789159802788453e-14
56.42855717744048,8.543392114611162e-13,5.615085346184296e-14,5.615085346184296e-14
57.93604354538789,8.376120636027868e-13,5.4493438805697806e-14,5.4493438805697806e-14
59.48380234387788,8.212124173640962e-13,5.291716293244768e-14,5.291716293244768e-14
61.07290944908175,8.051338605753323e-13,5.1419823283156495e-14,5.1419823283156495e-14
62.70446947915431,7.893701066109574e-13,4.999920077186974e-14,4.999920077186974e-14
64.37961656207476,7.739149919315727e-13,4.865305527353294e-14,4.865305527353294e-14
66.09951512400018,7.587624736740095e-13,4.737912183436767e-14,4.737912183436767e-14
67.86536069868022,7.439066272886015e-13,4.617510774027758e-14,4.617510774027758e-14
69.67838075849481,7.293416442227224e-13,4.5038690568453754e-14,4.5038690568453754e-14
71.53983556769332,7.150618296496724e-13,4.396751733003478e-14,4.396751733003478e-14
73.45101905842783,7.010616002420333e-13,4.295920478751029e-14,4.295920478751029e-14
